LSM Equation of Line: y = 0.126266x + 2.02628
Chi-Squared = 128.227

LSM Data Points (x \t \t y):

1.31934		2.19287
4.05242		2.53796
3.24894		2.43651
0.969385		2.14868
0.182998		2.04938
4.90802		2.64599
2.31969		2.31917
2.8819		2.39016
3.09606		2.4172
4.11942		2.54642
1.54503		2.22136
2.7571		2.3744
4.61133		2.60853
2.13159		2.29542
0.387555		2.07521
2.13949		2.29642
2.05462		2.28571
4.64078		2.61225
4.36456		2.57737
4.3233		2.57216
3.54669		2.4741
4.52995		2.59825
0.408603		2.07787
1.4242		2.20611
2.60874		2.35567
